Item No.,Product Name,Colour Clarity/Description,Defects,Size,Condition,SKU,Price,Date Added
1,NFL Reebok T-Shirt,Blue,None,XL Women's,Very good vintage condition,VWM - Women's Y2K Mix,£17.99,2026-08-18
2,Nike Women's Track Jacket,Navy with an orange band and white,Marks on left sleeve (see images),Medium Women's (8-10),Good vintage condition,VWM - Women's Y2K Mix,£17.99,2026-08-18
3,Miss Me Denim Shorts,,None,Waist 30,Very good condition,VWM - Women's Y2K Mix,£18.99,2026-08-18
4,NFL T-Shirt,Blue,,Large Women's,Very good condition,VWM - Women's Y2K Mix,£18.99,2026-08-18
5,NFL Reebok Top,"Dark navy blue, Walter Payton number 34 on the front",,XL Women's,Very good vintage condition,VWM - Women's Y2K Mix,£19.99,2026-08-18
6,The North Face Pullover,Turquoise,,Large,Very good condition,VWM - Women's Y2K Mix,£14.99,2026-08-18
7,Carhartt T-Shirt,,,Small Women's (4-6),Very good condition,VWM - Women's Y2K Mix,£14.99,2026-08-18
8,Birkenstock Thong Sandals,Natural,None,40,Very good vintage condition,SF - Birkenstock,£27.99,2026-08-18
