Item No.,Product Name,Colour Clarity/Description,Defects,Size,Condition,SKU,Price,Date Added
1,Adidas Hoodie,"Orange

A few dark marks and discrepancies on the front (see images)",A few dark marks and discrepancies on the front (see images),UK 30/32 (chest) - approx. women's XS-S,Good condition,VWM - Women's Y2K Mix,£14.99,2026-08-20
2,Nike Georgia Hoodie,A few marks (see images),A few marks (see images),Small Women's (4-6),Very good vintage condition,VWM - Women's Y2K Mix,£19.99,2026-08-20
3,Ralph Lauren Women's Top,100% cotton,None,Medium (12-14),Good condition,VWM - Women's Y2K Mix,,2026-08-20
4,Lacoste Women's Polo,"Red

Marks and discrepancies on the back and front, mainly on the back","Marks and discrepancies on the back and front, mainly on the back",Small Women's,Good condition,VWM - Women's Y2K Mix,£9.99,2026-08-20
5,Juicy Couture Blouse,Black,None,2 (likely US 2 = UK 6 / XS - unconfirmed),Very good condition,VWM - Women's Y2K Mix,£17.99,2026-08-20
6,The North Face Fleece,Pink,None,XL,Very good condition,VWM - Women's Y2K Mix,£14.99,2026-08-20
7,Juicy Couture Track Jacket,Black,None,Medium,Very good condition,VWM - Women's Y2K Mix,£29.99,2026-08-20
8,Lululemon Women's Top,,None,"Small Women's (no size label - owner's estimate, unconfirmed)",Very good condition,VWM - Women's Y2K Mix,£22.99,2026-08-20
9,The North Face Zip-Up Fleece,"Small discrepancies on the arm, barely noticeable (see images)","Small discrepancies on the arm, barely noticeable (see images)",XS,Very good vintage condition,VWM - Women's Y2K Mix,£12.99,2026-08-20
10,Carhartt Women's Fleece,"Burgundy, slightly faded",None,XS (4-6) - relaxed fit,Very good vintage condition,VWM - Women's Y2K Mix,£13.99,2026-08-20
11,Carhartt Jumper,Brown,None,,Very good condition,VWM - Women's Y2K Mix,£19.99,2026-08-20
12,Women's Chemise (Nightwear),"Black, 83% nylon / 17% spandex",None,40D,Very good condition,VWM - Women's Y2K Mix,£12.99,2026-08-20
13,Women's Shorts,"Light wash

Slight marks to the front and a bit to the back",Slight marks to the front and a bit to the back,"6 (31 waist, 12 leg)",Good condition,VWM - Women's Y2K Mix,£9.99,2026-08-20
14,Carhartt Women's Hoodie,Slight mark on the front (see images),Slight mark on the front (see images),Large - relaxed fit,Good condition,VWM - Women's Y2K Mix,£17.99,2026-08-20
15,Carhartt Women's Top (garment type unconfirmed),"Cream

A couple of unnoticeable marks on the front (see images)",A couple of unnoticeable marks on the front (see images),Large (12-14) - relaxed fit,Very good vintage condition,VWM - Women's Y2K Mix,,2026-08-20
16,Juicy Couture Cardigan,"Black, 80% cotton / 20% polyester",None,Large Women's,Very good condition,VWM - Women's Y2K Mix,£19.99,2026-08-20
17,Juicy Couture Denim Jacket,,None,,Very good condition,VWM - Women's Y2K Mix,£27.99,2026-08-20
18,Juicy Couture Cardigan,Black,None,XL,Very good condition,VWM - Women's Y2K Mix,£19.99,2026-08-20
19,Juicy Couture Cashmere Zip-Up Hoodie,"Dark grey, 100% cashmere",None,Medium,Very good condition,VWM - Women's Y2K Mix,£44.99,2026-08-20
20,Val Mode Nightgown (exact type to confirm),Burgundy,None,,Very good condition,VWM - Women's Y2K Mix,,2026-08-20
21,Guess Women's Shorts,"Natural tan, 100% cotton

Marks on front (see images)",Marks on front (see images),29 (waist),Good condition,VWM - Women's Y2K Mix,,2026-08-20
22,Ralph Lauren Cable Knit Jumper,Red,None,Small,Very good condition,VWM - Women's Y2K Mix,£19.99,2026-08-20
23,Rock Revival Women's Shorts,"Greeny turquoise

Small discrepancy on the back, nothing too much (see images)","Small discrepancy on the back, nothing too much (see images)",24 (waist),Very good vintage condition,VWM - Women's Y2K Mix,,2026-08-20
24,Yana K Women's Skirt,Black,None,Medium (waist not stated),Very good condition,VWM - Women's Y2K Mix,£17.99,2026-08-20
25,Corset (item type and size to confirm),,None,,Very good condition,VWM - Women's Y2K Mix,,2026-08-20
26,Women's Dress,"Black, nylon and spandex",None,28/29,Very good condition,VWM - Women's Y2K Mix,£16.99,2026-08-20
27,Women's Miniskirt,One speckle of a mark on the back - indistinct and hard to notice (see images),One speckle of a mark on the back - indistinct and hard to notice (see images),XS,Very good condition,VWM - Women's Y2K Mix,£13.99,2026-08-20
28,Yana K Women's Miniskirt,96% cotton / 4% spandex,None,XS,Very good condition,VWM - Women's Y2K Mix,£17.99,2026-08-20
29,Maidenform Half Slip (skirt or slip - to confirm),,None,Medium,Very good condition,VWM - Women's Y2K Mix,£12.99,2026-08-20
30,Pendleton Cardigan,Red,None,12,Very good condition,VWM - Women's Y2K Mix,,2026-08-20
31,Urban Outfitters Women's Top,Dark burnt orange,None,"Small (no size label - owner's estimate, unconfirmed)",Very good condition,VWM - Women's Y2K Mix,£12.99,2026-08-20
32,Vigoss Women's Denim Shorts,,None,"15/16 (US junior sizing - approx. UK 16), 3.5in inseam",Very good condition,VWM - Women's Y2K Mix,,2026-08-20
33,Calvin Klein Tie,Purple,None,One size,Very good condition,VWM - Women's Y2K Mix,£9.99,2026-08-20
34,Birkenstock Sandals,"Inner footbed a bit worn with dark marks, believed to be water damage. Exterior: bottom soles, leather and cork all in very good condition","Inner footbed a bit worn with dark marks, believed to be water damage. Exterior: bottom soles, leather and cork all in very good condition",34,Very good condition,SF - Birkenstock,£29.99,2026-08-20
35,Ralph Lauren Jumper,"Orange, round neck

Marks on the front (see images)",Marks on the front (see images),8-10,Satisfactory condition,VWM - Women's Y2K Mix,£9.99,2026-08-20
36,Nike Track Bottoms,Teal,None,Large (12-14) Women's,Very good condition,VWM - Women's Y2K Mix,,2026-08-20
37,Vigoss Three-Quarter Length Denims,,None,"Size 8 (waist approx. 30in), 21in inseam",Very good condition,VWM - Women's Y2K Mix,,2026-08-20
38,True Religion Women's Jeans,Blue,None,,Very good condition,VWM - Women's Y2K Mix,£29.99,2026-08-20
39,True Religion Women's Jeans,,None,24 (waist),Very good condition,VWM - Women's Y2K Mix,,2026-08-20
40,Ralph Lauren Women's Shirt,"Pink

Pink marks on the front (see images)",Pink marks on the front (see images),6,Good vintage condition,VWM - Women's Y2K Mix,£12.00,2026-08-20
41,Women's Jeans (brand unclear),,None,"00 (US double-zero = UK 4, waist approx. 23-24in)",Very good condition,VWM - Women's Y2K Mix,£12.99,2026-08-20
42,Juicy Couture Bottoms,Peach,None,XL,Very good condition,VWM - Women's Y2K Mix,£22.99,2026-08-20
43,Juicy Couture Track Pants,Purple,None,,Very good condition,VWM - Women's Y2K Mix,£24.99,2026-08-20
44,Silver Jeans Co. Denim Shorts,Suki Mid Short style,None,Waist 31,Very good condition,VWM - Women's Y2K Mix,,2026-08-20
45,Women's Bra,Black,None,32A,,,,2026-08-20
